epoch,loss,mae,mape,mse
0,0.046208858489990234,0.1461673378944397,2411369.5,0.046208858489990234
1,0.017032021656632423,0.10736238211393356,5386689.5,0.017032021656632423
2,0.005749202333390713,0.052337292581796646,817361.9375,0.005749202333390713
3,0.005997319705784321,0.05467544123530388,602357.25,0.005997319705784321
4,0.0049516730941832066,0.04927965998649597,1505844.625,0.0049516730941832066
5,0.004664593376219273,0.04598081856966019,739686.4375,0.004664593376219273
6,0.003939834889024496,0.03942335769534111,128827.6328125,0.003939834889024496
7,0.0043343608267605305,0.04261061176657677,598591.4375,0.0043343608267605305
8,0.004245575517416,0.04233970865607262,378814.59375,0.004245575517416
9,0.0035886652767658234,0.03948546200990677,545890.875,0.0035886652767658234
10,0.0030642084311693907,0.03569884970784187,230996.59375,0.0030642084311693907
11,0.0035387123934924603,0.03718862310051918,413369.5,0.0035387123934924603
12,0.003731852862983942,0.03902538865804672,559020.5625,0.003731852862983942
13,0.0036513854283839464,0.036200981587171555,230504.828125,0.0036513854283839464
14,0.003434051526710391,0.03671456128358841,374256.5,0.003434051526710391
15,0.0037034626584500074,0.038068439811468124,596965.6875,0.0037034626584500074
16,0.003828884568065405,0.0404026135802269,478000.40625,0.003828884568065405
17,0.004028282593935728,0.03958994522690773,394745.25,0.004028282593935728
18,0.003399986308068037,0.03848893195390701,464156.78125,0.003399986308068037
19,0.003613142529502511,0.03926320746541023,361712.875,0.003613142529502511
20,0.0034609949216246605,0.035830967128276825,292778.84375,0.0034609949216246605
21,0.005365953780710697,0.04611373320221901,271602.34375,0.005365953780710697
22,0.0037713092751801014,0.03743627294898033,495738.59375,0.0037713092751801014
23,0.0037968929391354322,0.03978858143091202,307017.28125,0.0037968929391354322
24,0.00341057893820107,0.03693029657006264,362999.53125,0.00341057893820107
25,0.004060313571244478,0.03989945352077484,498721.3125,0.004060313571244478
26,0.0033890276681631804,0.03658631071448326,389302.375,0.0033890276681631804
27,0.0031107596587389708,0.03707033768296242,412005.5,0.0031107596587389708
28,0.003821292193606496,0.0393117293715477,270061.28125,0.003821292193606496
29,0.003441024338826537,0.03668324276804924,698785.75,0.003441024338826537
30,0.0031009612139314413,0.0357208326458931,326591.71875,0.0031009612139314413
31,0.0034356703981757164,0.03771132975816727,282196.40625,0.0034356703981757164
32,0.0035650888457894325,0.03783566132187843,352821.625,0.0035650888457894325
33,0.0038986210711300373,0.03993429243564606,586826.8125,0.0038986210711300373
34,0.0041262442246079445,0.04121862351894379,334344.5625,0.0041262442246079445
35,0.003270997665822506,0.03926685452461243,486517.40625,0.003270997665822506
36,0.0030752287711948156,0.03688359260559082,207704.03125,0.0030752287711948156
37,0.002517032902687788,0.033555809408426285,402370.6875,0.002517032902687788
38,0.003070930717512965,0.03530937433242798,372461.75,0.003070930717512965
39,0.004283003509044647,0.046637121587991714,703559.4375,0.004283003509044647
40,0.003607395337894559,0.03796852380037308,226126.84375,0.003607395337894559
41,0.0035404835361987352,0.03746054321527481,469257.75,0.0035404835361987352
42,0.004297143779695034,0.03877341374754906,560302.625,0.004297143779695034
43,0.0029764031060039997,0.03574170544743538,415388.1875,0.0029764031060039997
44,0.0033843659330159426,0.038095325231552124,399872.71875,0.0033843659330159426
45,0.003724501235410571,0.038443103432655334,452318.875,0.003724501235410571
46,0.0032527947332710028,0.036193132400512695,389914.6875,0.0032527947332710028
47,0.0033078354317694902,0.03490905463695526,257850.5,0.0033078354317694902
48,0.003757904749363661,0.03587476536631584,319174.21875,0.003757904749363661
49,0.003888926934450865,0.038161005824804306,572842.375,0.003888926934450865
50,0.0027579220477491617,0.035931672900915146,290198.59375,0.0027579220477491617
51,0.003254869021475315,0.0369984433054924,718748.875,0.003254869021475315
52,0.0037529512774199247,0.03839375078678131,161392.5625,0.0037529512774199247
53,0.0029136063531041145,0.03793519362807274,746649.5625,0.0029136063531041145
54,0.0033273836597800255,0.03636457026004791,383192.46875,0.0033273836597800255
55,0.003429789561778307,0.036185961216688156,454532.09375,0.003429789561778307
56,0.0033731809817254543,0.03813011199235916,690604.75,0.0033731809817254543
57,0.0032952786423265934,0.03598826751112938,162414.90625,0.0032952786423265934
