epoch,loss,mae,mape,mse
58,0.004273253493010998,0.041267044842243195,316905.8125,0.004273253493010998
59,0.003771443385630846,0.04142361879348755,787972.0625,0.003771443385630846
60,0.0041298214346170425,0.04074646532535553,336001.25,0.0041298214346170425
61,0.0030489470809698105,0.03512090817093849,398873.6875,0.0030489470809698105
62,0.00344146229326725,0.038922738283872604,570460.4375,0.00344146229326725
63,0.0031580105423927307,0.03515266627073288,259826.578125,0.0031580105423927307
64,0.003193216398358345,0.034588515758514404,333269.5625,0.003193216398358345
65,0.003320074640214443,0.03590511530637741,417334.0625,0.003320074640214443
66,0.00304472167044878,0.03586918115615845,417658.28125,0.00304472167044878
67,0.0030312822200357914,0.035584382712841034,343782.46875,0.0030312822200357914
68,0.004226916003972292,0.0393887422978878,499042.71875,0.004226916003972292
69,0.003152801189571619,0.03614969179034233,284606.84375,0.003152801189571619
70,0.0035893612075597048,0.03846639394760132,617489.6875,0.0035893612075597048
71,0.0030455528758466244,0.03666910156607628,355948.90625,0.0030455528758466244
72,0.0030904298182576895,0.03539883717894554,444281.9375,0.0030904298182576895
73,0.003465167246758938,0.03626932203769684,246647.265625,0.003465167246758938
74,0.00357291498221457,0.03738285228610039,386448.28125,0.00357291498221457
75,0.0030972016975283623,0.03450758755207062,401411.03125,0.0030972016975283623
76,0.003755505196750164,0.03763740509748459,548649.3125,0.003755505196750164
77,0.0030401882249861956,0.03643205389380455,267589.3125,0.0030401882249861956
78,0.002864781068637967,0.03455106168985367,306011.84375,0.002864781068637967
79,0.0034573273733258247,0.037880729883909225,368375.15625,0.0034573273733258247
80,0.002857401268556714,0.03557984530925751,623272.125,0.002857401268556714
81,0.002705103252083063,0.03346038982272148,355613.96875,0.002705103252083063
82,0.003442873014137149,0.03621942922472954,464979.09375,0.003442873014137149
83,0.0033405586145818233,0.03841690346598625,369719.75,0.0033405586145818233
84,0.003199177561327815,0.03761283680796623,546452.3125,0.003199177561327815
85,0.002777369227260351,0.03404197469353676,452663.125,0.002777369227260351
86,0.003430842189118266,0.0378597229719162,502145.5,0.003430842189118266
87,0.0028525106608867645,0.03440772369503975,478431.65625,0.0028525106608867645
88,0.003174672368913889,0.036038972437381744,598470.9375,0.003174672368913889
89,0.002927349880337715,0.0344868078827858,373853.53125,0.002927349880337715
90,0.002803520765155554,0.0355231910943985,614089.9375,0.002803520765155554
91,0.003403071314096451,0.03773109242320061,397416.5625,0.003403071314096451
92,0.004072417039424181,0.03950590640306473,625383.8125,0.004072417039424181
93,0.003421892412006855,0.036907345056533813,332615.8125,0.003421892412006855
94,0.0028109997510910034,0.0346723236143589,602203.5625,0.0028109997510910034
95,0.0033977171406149864,0.03557012230157852,460288.65625,0.0033977171406149864
96,0.003396883374080062,0.034950140863657,311352.21875,0.003396883374080062
97,0.0030512174125760794,0.03482858091592789,297732.90625,0.0030512174125760794
98,0.0029403644148260355,0.03437839820981026,338474.75,0.0029403644148260355
99,0.0032523111440241337,0.03577875718474388,461738.34375,0.0032523111440241337
